19350,31.92,92.32
19575,31.86,92.5
19800,31.84,92.69
20025,31.79,92.88
20250,31.8,93.04
20475,31.75,93.21
20700,31.76,93.37
20925,31.73,93.56
21150,31.76,93.73
21375,31.74,93.88
21600,31.78,94.0
21825,31.76,94.15
22050,31.85,94.3
22275,31.98,94.4
22500,32.08,94.53
22725,32.17,94.62
22950,32.24,94.75
23175,32.27,94.88
23400,32.28,95.0
23625,32.31,95.13
23850,32.31,95.28
24075,32.31,95.43
24300,32.31,95.59
24525,32.29,95.8
24750,32.28,95.97
24975,32.26,96.14
25200,32.24,96.3
25425,32.24,96.45
25650,32.2,96.6
25875,32.18,96.78
26100,32.16,96.91
26325,32.13,97.07
26550,32.07,97.23
26775,32.05,97.37
27000,32.02,97.52
27225,31.98,97.65
27450,31.94,97.8
27675,31.89,97.94
27900,31.86,98.07
28125,31.82,98.2
28350,31.78,98.31
28575,31.69,98.44
28800,31.66,98.57
29025,31.63,98.68
29250,31.58,98.81
29475,31.54,98.93
29700,31.46,99.03
29925,31.46,99.13
30150,31.42,99.25
30375,31.35,99.34
30600,31.31,99.47
30825,31.26,99.56
31050,31.25,99.66
31275,31.21,99.76
31500,31.15,99.86
31725,31.16,99.96
31950,31.14,100.02
32175,31.13,100.11
32400,31.15,100.21
32625,31.16,100.26
32850,31.18,100.35
33075,31.23,100.4
33300,31.24,100.49
33525,31.31,100.54
33750,31.33,100.61
33975,31.39,100.67
34200,31.41,100.72
34425,31.46,100.78
34650,31.5,100.84
34875,31.57,100.9
35100,31.61,100.94
35325,31.64,100.99
35550,31.67,101.08
35775,31.72,101.12
36000,31.75,101.19
36225,31.78,101.24
36450,31.78,101.31
36675,31.8,101.34
36900,31.81,101.41
37125,31.78,101.46
37350,31.8,101.62
37575,31.81,101.69
37800,31.78,101.76
