RUNNING
init htu
Starting
170RUNNING
Waiting for computer connection...
0,27.02,55.13
225,23.26,54.39
450,22.65,56.69
675,22.54,58.43
900,22.61,59.54
1125,22.71,60.57
1350,22.90,61.52
1575,23.03,62.32
1800,23.17,63.10
2025,23.26,63.80
2250,23.28,65.16
2475,23.28,65.78
2700,23.21,66.30
2925,23.14,66.81
3150,23.02,67.38
3375,22.87,68.12
3600,22.71,68.89
3825,22.51,69.83
4050,22.25,71.22
4275,22.03,72.12
4500,21.79,72.58
4725,21.53,72.98
4950,21.28,73.41
5175,21.01,74.03
5400,20.73,74.61
5625,20.48,75.23
5850,20.20,75.63
6075,19.95,76.25
6300,19.72,76.63
4294967295,nan,nan
