,rawTime,temp (°C),humidity (%RH),syncedTime
0,0,29.92,60.6,24/05/2017 10:30:00
1,14400,36.56,52.25,24/05/2017 11:00:00
2,28800,34.46,49.63,24/05/2017 11:30:00
3,43200,33.32,52.11,24/05/2017 12:00:00
4,57600,32.99,53.72,24/05/2017 12:30:00
5,72000,32.85,54.99,24/05/2017 13:00:00
6,86400,32.73,56.07,24/05/2017 13:30:00
7,100800,32.69,57.1,24/05/2017 14:00:00
8,115200,32.67,57.97,24/05/2017 14:30:00
9,129600,32.64,58.83,24/05/2017 15:00:00
10,144000,32.64,59.66,24/05/2017 15:30:00
11,158400,32.64,60.44,24/05/2017 16:00:00
12,172800,32.63,61.18,24/05/2017 16:30:00
13,187200,32.66,61.92,24/05/2017 17:00:00
14,201600,32.67,62.61,24/05/2017 17:30:00
15,216000,32.64,63.31,24/05/2017 18:00:00
16,230400,32.64,64.02,24/05/2017 18:30:00
17,244800,32.67,64.68,24/05/2017 19:00:00
18,259200,32.64,65.34,24/05/2017 19:30:00
19,273600,32.67,65.98,24/05/2017 20:00:00
20,288000,32.67,66.62,24/05/2017 20:30:00
21,302400,32.67,67.22,24/05/2017 21:00:00
22,316800,32.67,67.86,24/05/2017 21:30:00
23,331200,32.67,68.46,24/05/2017 22:00:00
24,345600,32.66,69.04,24/05/2017 22:30:00
25,360000,32.63,69.63,24/05/2017 23:00:00
26,374400,32.61,70.19,24/05/2017 23:30:00
27,388800,32.62,70.74,25/05/2017 00:00:00
28,403200,32.61,71.26,25/05/2017 00:30:00
29,417600,32.58,71.82,25/05/2017 01:00:00
30,432000,32.56,72.32,25/05/2017 01:30:00
31,446400,32.55,72.83,25/05/2017 02:00:00
32,460800,32.53,73.33,25/05/2017 02:30:00
33,475200,32.5,73.83,25/05/2017 03:00:00
34,489600,32.47,74.31,25/05/2017 03:30:00
35,504000,32.47,74.77,25/05/2017 04:00:00
36,518400,32.44,75.25,25/05/2017 04:30:00
37,532800,32.42,75.69,25/05/2017 05:00:00
38,547200,32.42,76.09,25/05/2017 05:30:00
39,561600,32.38,76.55,25/05/2017 06:00:00
40,576000,32.34,76.97,25/05/2017 06:30:00
41,590400,32.31,77.4,25/05/2017 07:00:00
42,604800,32.29,77.8,25/05/2017 07:30:00
43,619200,32.26,78.18,25/05/2017 08:00:00
44,633600,32.27,78.58,25/05/2017 08:30:00
45,648000,32.25,78.95,25/05/2017 09:00:00
46,662400,32.24,79.33,25/05/2017 09:30:00
47,676800,32.22,79.68,25/05/2017 10:00:00
48,691200,32.2,80.03,25/05/2017 10:30:00
49,705600,32.2,80.4,25/05/2017 11:00:00
50,720000,32.22,80.75,25/05/2017 11:30:00
51,734400,32.22,81.08,25/05/2017 12:00:00
52,748800,32.22,81.38,25/05/2017 12:30:00
53,763200,32.23,81.73,25/05/2017 13:00:00
54,777600,32.28,82.04,25/05/2017 13:30:00
55,792000,32.31,82.35,25/05/2017 14:00:00
56,806400,32.33,82.64,25/05/2017 14:30:00
57,820800,32.37,82.93,25/05/2017 15:00:00
58,835200,32.39,83.2,25/05/2017 15:30:00
59,849600,32.43,83.5,25/05/2017 16:00:00
60,864000,32.45,83.74,25/05/2017 16:30:00
61,878400,32.48,84.03,25/05/2017 17:00:00
62,892800,32.53,84.29,25/05/2017 17:30:00
63,907200,32.54,84.55,25/05/2017 18:00:00
64,921600,32.58,84.8,25/05/2017 18:30:00
65,936000,32.56,85.05,25/05/2017 19:00:00
66,950400,32.6,85.31,25/05/2017 19:30:00
67,964800,32.66,85.54,25/05/2017 20:00:00
68,979200,32.67,85.76,25/05/2017 20:30:00
69,993600,32.66,86.02,25/05/2017 21:00:00
70,1008000,32.66,86.25,25/05/2017 21:30:00
71,1022400,32.68,86.48,25/05/2017 22:00:00
72,1036800,32.69,86.72,25/05/2017 22:30:00
73,1051200,32.67,86.95,25/05/2017 23:00:00
74,1065600,32.64,87.16,25/05/2017 23:30:00
75,1080000,32.64,87.39,26/05/2017 00:00:00
76,1094400,32.62,87.61,26/05/2017 00:30:00
77,1108800,32.61,87.83,26/05/2017 01:00:00
78,1123200,32.6,88.04,26/05/2017 01:30:00
79,1137600,32.6,88.25,26/05/2017 02:00:00
80,1137600,32.59,88.46,26/05/2017 02:30:00
81,1152000,32.55,88.67,26/05/2017 03:00:00
82,1166400,32.55,88.88,26/05/2017 03:30:00
83,1180800,32.49,89.07,26/05/2017 04:00:00
84,1195200,32.49,89.25,26/05/2017 04:30:00
85,1209600,32.47,89.48,26/05/2017 05:00:00
86,1224000,32.44,89.66,26/05/2017 05:30:00
87,1238400,32.41,89.87,26/05/2017 06:00:00
88,1252800,32.39,90.05,26/05/2017 06:30:00
89,1267200,32.33,90.24,26/05/2017 07:00:00
90,1281600,32.31,90.42,26/05/2017 07:30:00
91,1296000,32.31,90.61,26/05/2017 08:00:00
92,1310400,32.3,90.79,26/05/2017 08:30:00
93,1324800,32.27,91.0,26/05/2017 09:00:00
94,1339200,32.25,91.15,26/05/2017 09:30:00
95,1353600,32.24,91.34,26/05/2017 10:00:00
96,1368000,32.25,91.51,26/05/2017 10:30:00
97,1382400,32.24,91.69,26/05/2017 11:00:00
98,1396800,32.26,91.86,26/05/2017 11:30:00
99,1411200,32.25,92.04,26/05/2017 12:00:00
