,rawTime,temp (°C),humidity (%RH),syncedTime
97,174600,31.76,94.15,28/02/2017 11:15:00
98,176400,31.85,94.3,28/02/2017 11:45:00
99,178200,31.98,94.4,28/02/2017 12:15:00
100,180000,32.08,94.53,28/02/2017 12:45:00
101,181800,32.17,94.62,28/02/2017 13:15:00
102,183600,32.24,94.75,28/02/2017 13:45:00
103,185400,32.27,94.88,28/02/2017 14:15:00
104,187200,32.28,95.0,28/02/2017 14:45:00
105,189000,32.31,95.13,28/02/2017 15:15:00
106,190800,32.31,95.28,28/02/2017 15:45:00
107,192600,32.31,95.43,28/02/2017 16:15:00
108,194400,32.31,95.59,28/02/2017 16:45:00
109,196200,32.29,95.8,28/02/2017 17:15:00
110,198000,32.28,95.97,28/02/2017 17:45:00
111,199800,32.26,96.14,28/02/2017 18:15:00
112,201600,32.24,96.3,28/02/2017 18:45:00
113,203400,32.24,96.45,28/02/2017 19:15:00
114,205200,32.2,96.6,28/02/2017 19:45:00
115,207000,32.18,96.78,28/02/2017 20:15:00
116,208800,32.16,96.91,28/02/2017 20:45:00
117,210600,32.13,97.07,28/02/2017 21:15:00
118,212400,32.07,97.23,28/02/2017 21:45:00
119,214200,32.05,97.37,28/02/2017 22:15:00
120,216000,32.02,97.52,28/02/2017 22:45:00
121,217800,31.98,97.65,28/02/2017 23:15:00
122,219600,31.94,97.8,28/02/2017 23:45:00
123,221400,31.89,97.94,01/03/2017 00:15:00
124,223200,31.86,98.07,01/03/2017 00:45:00
125,225000,31.82,98.2,01/03/2017 01:15:00
126,226800,31.78,98.31,01/03/2017 01:45:00
127,228600,31.69,98.44,01/03/2017 02:15:00
128,230400,31.66,98.57,01/03/2017 02:45:00
129,232200,31.63,98.68,01/03/2017 03:15:00
130,234000,31.58,98.81,01/03/2017 03:45:00
131,235800,31.54,98.93,01/03/2017 04:15:00
132,237600,31.46,99.03,01/03/2017 04:45:00
133,239400,31.46,99.13,01/03/2017 05:15:00
134,241200,31.42,99.25,01/03/2017 05:45:00
135,243000,31.35,99.34,01/03/2017 06:15:00
136,244800,31.31,99.47,01/03/2017 06:45:00
137,246600,31.26,99.56,01/03/2017 07:15:00
138,248400,31.25,99.66,01/03/2017 07:45:00
139,250200,31.21,99.76,01/03/2017 08:15:00
140,252000,31.15,99.86,01/03/2017 08:45:00
141,253800,31.16,99.96,01/03/2017 09:15:00
142,255600,31.14,100.02,01/03/2017 09:45:00
143,257400,31.13,100.11,01/03/2017 10:15:00
144,259200,31.15,100.21,01/03/2017 10:45:00
145,261000,31.16,100.26,01/03/2017 11:15:00
146,262800,31.18,100.35,01/03/2017 11:45:00
147,264600,31.23,100.4,01/03/2017 12:15:00
148,266400,31.24,100.49,01/03/2017 12:45:00
149,268200,31.31,100.54,01/03/2017 13:15:00
150,270000,31.33,100.61,01/03/2017 13:45:00
151,271800,31.39,100.67,01/03/2017 14:15:00
152,273600,31.41,100.72,01/03/2017 14:45:00
153,275400,31.46,100.78,01/03/2017 15:15:00
154,277200,31.5,100.84,01/03/2017 15:45:00
155,279000,31.57,100.9,01/03/2017 16:15:00
156,280800,31.61,100.94,01/03/2017 16:45:00
157,282600,31.64,100.99,01/03/2017 17:15:00
158,284400,31.67,101.08,01/03/2017 17:45:00
159,286200,31.72,101.12,01/03/2017 18:15:00
160,288000,31.75,101.19,01/03/2017 18:45:00
161,289800,31.78,101.24,01/03/2017 19:15:00
162,291600,31.78,101.31,01/03/2017 19:45:00
163,293400,31.8,101.34,01/03/2017 20:15:00
164,295200,31.81,101.41,01/03/2017 20:45:00
165,297000,31.78,101.46,01/03/2017 21:15:00
166,298800,31.8,101.62,01/03/2017 21:45:00
167,300600,31.81,101.69,01/03/2017 22:15:00
168,302400,31.78,101.76,01/03/2017 22:45:00
169,302400,24.19,55.92,01/03/2017 23:15:00
170,304200,35.49,50.14,01/03/2017 23:45:00
171,306000,32.55,52.53,02/03/2017 00:15:00
172,307800,32.23,54.97,02/03/2017 00:45:00
173,309600,32.19,56.59,02/03/2017 01:15:00
174,311400,32.2,57.9,02/03/2017 01:45:00
175,313200,32.19,59.09,02/03/2017 02:15:00
176,315000,32.22,60.17,02/03/2017 02:45:00
177,316800,32.23,61.18,02/03/2017 03:15:00
178,318600,32.23,62.08,02/03/2017 03:45:00
179,320400,32.22,62.96,02/03/2017 04:15:00
180,322200,32.23,63.79,02/03/2017 04:45:00
181,324000,32.23,64.6,02/03/2017 05:15:00
182,325800,32.24,65.4,02/03/2017 05:45:00
183,327600,32.25,66.18,02/03/2017 06:15:00
184,329400,32.24,66.92,02/03/2017 06:45:00
185,331200,32.23,67.67,02/03/2017 07:15:00
186,333000,32.22,68.39,02/03/2017 07:45:00
187,334800,32.22,69.06,02/03/2017 08:15:00
188,336600,32.22,69.71,02/03/2017 08:45:00
189,338400,32.23,70.39,02/03/2017 09:15:00
190,340200,32.19,71.08,02/03/2017 09:45:00
191,342000,32.16,71.69,02/03/2017 10:15:00
192,343800,32.16,72.3,02/03/2017 10:45:00
193,345600,32.14,72.87,02/03/2017 11:15:00
194,347400,32.12,73.48,02/03/2017 11:45:00
195,349200,32.09,74.09,02/03/2017 12:15:00
196,351000,32.07,74.61,02/03/2017 12:45:00
197,352800,32.04,75.19,02/03/2017 13:15:00
198,354600,32.03,75.68,02/03/2017 13:45:00
199,356400,31.99,76.21,02/03/2017 14:15:00
200,358200,31.97,76.72,02/03/2017 14:45:00
201,360000,31.92,77.21,02/03/2017 15:15:00
202,361800,31.87,77.71,02/03/2017 15:45:00
203,363600,31.85,78.19,02/03/2017 16:15:00
204,365400,31.82,78.65,02/03/2017 16:45:00
205,367200,31.79,79.08,02/03/2017 17:15:00
206,369000,31.73,79.52,02/03/2017 17:45:00
207,370800,31.74,79.95,02/03/2017 18:15:00
208,372600,31.68,80.36,02/03/2017 18:45:00
209,374400,31.66,80.75,02/03/2017 19:15:00
210,376200,31.64,81.14,02/03/2017 19:45:00
211,378000,31.61,81.52,02/03/2017 20:15:00
212,379800,31.6,81.93,02/03/2017 20:45:00
213,381600,31.57,82.29,02/03/2017 21:15:00
214,383400,31.54,82.62,02/03/2017 21:45:00
215,385200,31.57,82.99,02/03/2017 22:15:00
216,387000,31.56,83.31,02/03/2017 22:45:00
217,388800,31.58,83.63,02/03/2017 23:15:00
218,390600,31.6,83.94,02/03/2017 23:45:00
219,392400,31.64,84.24,03/03/2017 00:15:00
220,394200,31.68,84.52,03/03/2017 00:45:00
221,396000,31.72,84.81,03/03/2017 01:15:00
222,397800,31.76,85.08,03/03/2017 01:45:00
223,399600,31.78,85.35,03/03/2017 02:15:00
224,401400,31.84,85.64,03/03/2017 02:45:00
225,403200,31.88,85.87,03/03/2017 03:15:00
226,405000,31.94,86.12,03/03/2017 03:45:00
227,406800,31.98,86.37,03/03/2017 04:15:00
228,408600,32.05,86.6,03/03/2017 04:45:00
229,410400,32.1,86.83,03/03/2017 05:15:00
230,412200,32.14,87.06,03/03/2017 05:45:00
231,414000,32.18,87.3,03/03/2017 06:15:00
232,415800,32.18,87.54,03/03/2017 06:45:00
233,417600,32.2,87.77,03/03/2017 07:15:00
234,419400,32.24,87.98,03/03/2017 07:45:00
235,421200,32.29,88.18,03/03/2017 08:15:00
236,423000,32.26,88.44,03/03/2017 08:45:00
237,424800,32.25,88.64,03/03/2017 09:15:00
238,426600,32.26,88.86,03/03/2017 09:45:00
239,428400,32.26,89.06,03/03/2017 10:15:00
240,430200,32.27,89.25,03/03/2017 10:45:00
241,432000,32.25,89.5,03/03/2017 11:15:00
242,433800,32.24,89.71,03/03/2017 11:45:00
243,435600,32.23,89.92,03/03/2017 12:15:00
244,437400,32.22,90.14,03/03/2017 12:45:00
245,439200,32.18,90.31,03/03/2017 13:15:00
246,441000,32.16,90.53,03/03/2017 13:45:00
247,442800,32.15,90.74,03/03/2017 14:15:00
248,444600,32.12,90.95,03/03/2017 14:45:00
249,446400,32.09,91.15,03/03/2017 15:15:00
250,448200,32.09,91.37,03/03/2017 15:45:00
251,450000,32.04,91.53,03/03/2017 16:15:00
252,451800,32.0,91.76,03/03/2017 16:45:00
253,453600,31.99,91.94,03/03/2017 17:15:00
254,455400,31.97,92.13,03/03/2017 17:45:00
255,457200,31.92,92.32,03/03/2017 18:15:00
256,459000,31.86,92.5,03/03/2017 18:45:00
257,460800,31.84,92.69,03/03/2017 19:15:00
258,462600,31.79,92.88,03/03/2017 19:45:00
259,464400,31.8,93.04,03/03/2017 20:15:00
260,466200,31.75,93.21,03/03/2017 20:45:00
261,468000,31.76,93.37,03/03/2017 21:15:00
262,469800,31.73,93.56,03/03/2017 21:45:00
263,471600,31.76,93.73,03/03/2017 22:15:00
264,473400,31.74,93.88,03/03/2017 22:45:00
265,475200,31.78,94.0,03/03/2017 23:15:00
266,477000,31.76,94.15,03/03/2017 23:45:00
267,478800,31.85,94.3,04/03/2017 00:15:00
268,480600,31.98,94.4,04/03/2017 00:45:00
269,482400,32.08,94.53,04/03/2017 01:15:00
270,484200,32.17,94.62,04/03/2017 01:45:00
271,486000,32.24,94.75,04/03/2017 02:15:00
272,487800,32.27,94.88,04/03/2017 02:45:00
273,489600,32.28,95.0,04/03/2017 03:15:00
274,491400,32.31,95.13,04/03/2017 03:45:00
275,493200,32.31,95.28,04/03/2017 04:15:00
276,495000,32.31,95.43,04/03/2017 04:45:00
277,496800,32.31,95.59,04/03/2017 05:15:00
278,498600,32.29,95.8,04/03/2017 05:45:00
279,500400,32.28,95.97,04/03/2017 06:15:00
280,502200,32.26,96.14,04/03/2017 06:45:00
281,504000,32.24,96.3,04/03/2017 07:15:00
282,505800,32.24,96.45,04/03/2017 07:45:00
283,507600,32.2,96.6,04/03/2017 08:15:00
284,509400,32.18,96.78,04/03/2017 08:45:00
285,511200,32.16,96.91,04/03/2017 09:15:00
286,513000,32.13,97.07,04/03/2017 09:45:00
287,514800,32.07,97.23,04/03/2017 10:15:00
288,516600,32.05,97.37,04/03/2017 10:45:00
289,518400,32.02,97.52,04/03/2017 11:15:00
290,520200,31.98,97.65,04/03/2017 11:45:00
291,522000,31.94,97.8,04/03/2017 12:15:00
292,523800,31.89,97.94,04/03/2017 12:45:00
293,525600,31.86,98.07,04/03/2017 13:15:00
294,527400,31.82,98.2,04/03/2017 13:45:00
295,529200,31.78,98.31,04/03/2017 14:15:00
296,531000,31.69,98.44,04/03/2017 14:45:00
297,532800,31.66,98.57,04/03/2017 15:15:00
298,534600,31.63,98.68,04/03/2017 15:45:00
299,536400,31.58,98.81,04/03/2017 16:15:00
300,538200,31.54,98.93,04/03/2017 16:45:00
301,540000,31.46,99.03,04/03/2017 17:15:00
302,541800,31.46,99.13,04/03/2017 17:45:00
303,543600,31.42,99.25,04/03/2017 18:15:00
304,545400,31.35,99.34,04/03/2017 18:45:00
305,547200,31.31,99.47,04/03/2017 19:15:00
306,549000,31.26,99.56,04/03/2017 19:45:00
307,550800,31.25,99.66,04/03/2017 20:15:00
308,552600,31.21,99.76,04/03/2017 20:45:00
309,554400,31.15,99.86,04/03/2017 21:15:00
310,556200,31.16,99.96,04/03/2017 21:45:00
311,558000,31.14,100.02,04/03/2017 22:15:00
312,559800,31.13,100.11,04/03/2017 22:45:00
313,561600,31.15,100.21,04/03/2017 23:15:00
314,563400,31.16,100.26,04/03/2017 23:45:00
315,565200,31.18,100.35,05/03/2017 00:15:00
316,567000,31.23,100.4,05/03/2017 00:45:00
317,568800,31.24,100.49,05/03/2017 01:15:00
318,570600,31.31,100.54,05/03/2017 01:45:00
319,572400,31.33,100.61,05/03/2017 02:15:00
320,574200,31.39,100.67,05/03/2017 02:45:00
321,576000,31.41,100.72,05/03/2017 03:15:00
322,577800,31.46,100.78,05/03/2017 03:45:00
323,579600,31.5,100.84,05/03/2017 04:15:00
324,581400,31.57,100.9,05/03/2017 04:45:00
325,583200,31.61,100.94,05/03/2017 05:15:00
326,585000,31.64,100.99,05/03/2017 05:45:00
327,586800,31.67,101.08,05/03/2017 06:15:00
328,588600,31.72,101.12,05/03/2017 06:45:00
329,590400,31.75,101.19,05/03/2017 07:15:00
330,592200,31.78,101.24,05/03/2017 07:45:00
331,594000,31.78,101.31,05/03/2017 08:15:00
332,595800,31.8,101.34,05/03/2017 08:45:00
333,597600,31.81,101.41,05/03/2017 09:15:00
334,599400,31.78,101.46,05/03/2017 09:45:00
335,601200,31.8,101.62,05/03/2017 10:15:00
336,603000,31.81,101.69,05/03/2017 10:45:00
337,604800,31.78,101.76,05/03/2017 11:15:00
