,rawTime,temp (°C),humidity (%RH),syncedTime
0,0,23.86,57.23,26/02/2017 10:45:00
1,1800,35.49,50.14,26/02/2017 11:15:00
2,3600,32.55,52.53,26/02/2017 11:45:00
3,5400,32.23,54.97,26/02/2017 12:15:00
4,7200,32.19,56.59,26/02/2017 12:45:00
5,9000,32.2,57.9,26/02/2017 13:15:00
6,10800,32.19,59.09,26/02/2017 13:45:00
7,12600,32.22,60.17,26/02/2017 14:15:00
8,14400,32.23,61.18,26/02/2017 14:45:00
9,16200,32.23,62.08,26/02/2017 15:15:00
10,18000,32.22,62.96,26/02/2017 15:45:00
11,19800,32.23,63.79,26/02/2017 16:15:00
12,21600,32.23,64.6,26/02/2017 16:45:00
13,23400,32.24,65.4,26/02/2017 17:15:00
14,25200,32.25,66.18,26/02/2017 17:45:00
15,27000,32.24,66.92,26/02/2017 18:15:00
16,28800,32.23,67.67,26/02/2017 18:45:00
17,30600,32.22,68.39,26/02/2017 19:15:00
18,32400,32.22,69.06,26/02/2017 19:45:00
19,34200,32.22,69.71,26/02/2017 20:15:00
20,36000,32.23,70.39,26/02/2017 20:45:00
21,37800,32.19,71.08,26/02/2017 21:15:00
22,39600,32.16,71.69,26/02/2017 21:45:00
23,41400,32.16,72.3,26/02/2017 22:15:00
24,43200,32.14,72.87,26/02/2017 22:45:00
25,45000,32.12,73.48,26/02/2017 23:15:00
26,46800,32.09,74.09,26/02/2017 23:45:00
27,48600,32.07,74.61,27/02/2017 00:15:00
28,50400,32.04,75.19,27/02/2017 00:45:00
29,52200,32.03,75.68,27/02/2017 01:15:00
30,54000,31.99,76.21,27/02/2017 01:45:00
31,55800,31.97,76.72,27/02/2017 02:15:00
32,57600,31.92,77.21,27/02/2017 02:45:00
33,59400,31.87,77.71,27/02/2017 03:15:00
34,61200,31.85,78.19,27/02/2017 03:45:00
35,63000,31.82,78.65,27/02/2017 04:15:00
36,64800,31.79,79.08,27/02/2017 04:45:00
37,66600,31.73,79.52,27/02/2017 05:15:00
38,68400,31.74,79.95,27/02/2017 05:45:00
39,70200,31.68,80.36,27/02/2017 06:15:00
40,72000,31.66,80.75,27/02/2017 06:45:00
41,73800,31.64,81.14,27/02/2017 07:15:00
42,75600,31.61,81.52,27/02/2017 07:45:00
43,77400,31.6,81.93,27/02/2017 08:15:00
44,79200,31.57,82.29,27/02/2017 08:45:00
45,81000,31.54,82.62,27/02/2017 09:15:00
46,82800,31.57,82.99,27/02/2017 09:45:00
47,84600,31.56,83.31,27/02/2017 10:15:00
48,86400,31.58,83.63,27/02/2017 10:45:00
49,88200,31.6,83.94,27/02/2017 11:15:00
50,90000,31.64,84.24,27/02/2017 11:45:00
51,91800,31.68,84.52,27/02/2017 12:15:00
52,93600,31.72,84.81,27/02/2017 12:45:00
53,95400,31.76,85.08,27/02/2017 13:15:00
54,97200,31.78,85.35,27/02/2017 13:45:00
55,99000,31.84,85.64,27/02/2017 14:15:00
56,100800,31.88,85.87,27/02/2017 14:45:00
57,102600,31.94,86.12,27/02/2017 15:15:00
58,104400,31.98,86.37,27/02/2017 15:45:00
59,106200,32.05,86.6,27/02/2017 16:15:00
60,108000,32.1,86.83,27/02/2017 16:45:00
61,109800,32.14,87.06,27/02/2017 17:15:00
62,111600,32.18,87.3,27/02/2017 17:45:00
63,113400,32.18,87.54,27/02/2017 18:15:00
64,115200,32.2,87.77,27/02/2017 18:45:00
65,117000,32.24,87.98,27/02/2017 19:15:00
66,118800,32.29,88.18,27/02/2017 19:45:00
67,120600,32.26,88.44,27/02/2017 20:15:00
68,122400,32.25,88.64,27/02/2017 20:45:00
69,124200,32.26,88.86,27/02/2017 21:15:00
70,126000,32.26,89.06,27/02/2017 21:45:00
71,127800,32.27,89.25,27/02/2017 22:15:00
72,129600,32.25,89.5,27/02/2017 22:45:00
73,131400,32.24,89.71,27/02/2017 23:15:00
74,133200,32.23,89.92,27/02/2017 23:45:00
75,135000,32.22,90.14,28/02/2017 00:15:00
76,136800,32.18,90.31,28/02/2017 00:45:00
77,138600,32.16,90.53,28/02/2017 01:15:00
78,140400,32.15,90.74,28/02/2017 01:45:00
79,142200,32.12,90.95,28/02/2017 02:15:00
80,144000,32.09,91.15,28/02/2017 02:45:00
81,145800,32.09,91.37,28/02/2017 03:15:00
82,147600,32.04,91.53,28/02/2017 03:45:00
83,149400,32.0,91.76,28/02/2017 04:15:00
84,151200,31.99,91.94,28/02/2017 04:45:00
85,153000,31.97,92.13,28/02/2017 05:15:00
86,154800,31.92,92.32,28/02/2017 05:45:00
87,156600,31.86,92.5,28/02/2017 06:15:00
88,158400,31.84,92.69,28/02/2017 06:45:00
89,160200,31.79,92.88,28/02/2017 07:15:00
90,162000,31.8,93.04,28/02/2017 07:45:00
91,163800,31.75,93.21,28/02/2017 08:15:00
92,165600,31.76,93.37,28/02/2017 08:45:00
93,167400,31.73,93.56,28/02/2017 09:15:00
94,169200,31.76,93.73,28/02/2017 09:45:00
95,171000,31.74,93.88,28/02/2017 10:15:00
96,172800,31.78,94.0,28/02/2017 10:45:00
